2011,P/E,Sales Surprise Pct,P/B,D/E,ROE,FCF,PEG,Market cap,EBITDA,beta,Price 2011,Price 2021
INTC,9.9385004044,1.0080000162,2.6895999908,15.9679002762,28.0230007172,10199,1.0250999928,123481,23777,1.0827000141,24.25,51.5
INTU,23.9050006866,2.2980000973,6.7005000114,42.3125991821,27.563999176,908,1.361899972,15819.8095703125,1363.9349365234,0.7760999799,52.5900001526,643.2199707031
ISRG,37.6430015564,2.7630000114,6.8243999481,0,20.7719993591,594.700012207,1.7029999495,18054.61328125,741.299987793,1.5292999744,51.4455986023,359.299987793
KLAC,10.265999794,2.0290000439,2.7090001106,25.1497001648,28.013999939,886.6801147461,1.2474000454,8041.5380859375,1215.0010986328,1.7135000229,48.25,430.1099853516
LBTYA,31.3209991455,-8.0530004501,3.8682000637,844.5759887695,9.9177999496,809.299987793,#N/A,11339.1337890625,5514.9301757813,1.478399992,41.0299987793,27.7399997711
LSXMA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,50.8499984741
LIFE,#N/A,#N/A,#N/A,0.5975999832,#N/A,709.8400268555,#N/A,#N/A,#N/A,#LinkError,#LinkError,7.4699997902
LLTC,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.054700017,30.0300006866,#LinkError
MAT,12.5609998703,-3.0280001163,3.6010000706,59.6800994873,30.6620006561,475.7600097656,#N/A,9400.8134765625,1202.3830566406,0.9282000065,27.7600002289,21.5599994659
MXIM,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.0813000202,26.0400009155,#LinkError
META,#N/A,#N/A,#N/A,0,#N/A,943,#N/A,#N/A,1922,#N/A,#N/A,336.3500061035
MCHP,20.1259994507,-0.1030000001,3.606400013,0,19.4409999847,363.6099853516,1.8128000498,7001.12890625,515.5880126953,1.1022000313,18.3150005341,87.0599975586
MU,#N/A,-2.7790000439,0.6398000121,21.8250999451,-1.5916999578,-524,-9.9759998322,6211.833984375,2320.6000976563,1.1953999996,6.2899999619,93.1500015259
MSFT,9.5792999268,-0.3449999988,3.4058001041,18.6086006165,39.388999939,26735,0.8112999797,218380.15625,29469,0.9779999852,25.9599990845,336.3200073242
MDLZ,16.313999176,-0.5879999995,1.8683999777,75.7161026001,10.9169998169,2792,1.8552999496,66005.78125,8350.5595703125,0.5595999956,37.3600006104,66.3099975586
